"","Monogram","Frequency","PRED"
"283","friday",28,"friday"
"284","enough",28,"enough"
"285","times",28,"times"
"286","found",28,"found"
"287","live",28,"live"
"288","someone",28,"someone"
"289","fun",28,"fun"
"290","games",28,"games"
"291","pretty",28,"pretty"
"292","talk",27,"talk"
"293","weeks",27,"weeks"
"294","yet",27,"yet"
"295","started",27,"started"
"296","whole",27,"whole"
"297","follow",27,"follow"
"298","youre",27,"youre"
"299","five",27,"five"
"300","later",27,"later"
"301","set",27,"set"
"302","during",27,"during"
"303","room",27,"room"
"304","movie",27,"movie"
"305","case",27,"case"
"306","according",27,"according"
"307","care",27,"care"
"308","far",26,"far"
"309","call",26,"call"
"310","mean",26,"mean"
"311","important",26,"important"
"312","thank",26,"thank"
"313","ago",26,"ago"
"314","white",26,"white"
"315","asked",26,"asked"
"316","probably",26,"probably"
"317","playing",26,"playing"
"318","between",26,"between"
"319","stop",26,"stop"
"320","area",26,"area"
"321","pay",26,"pay"
"322","ill",26,"ill"
"323","months",26,"months"
"324","local",26,"local"
"325","line",26,"line"
"326","coming",25,"coming"
"327","god",25,"god"
"328","makes",25,"makes"
"329","others",25,"others"
"330","less",25,"less"
"331","came",25,"came"
"332","b",25,"b"
"333","public",25,"public"
"334","mother",25,"mother"
"335","wait",25,"wait"
"336","community",25,"community"
"337","become",25,"become"
"338","saturday",25,"saturday"
"339","re",24,"re"
"340","bit",24,"bit"
"341","doesnt",24,"doesnt"
"342","move",24,"move"
"343","wednesday",24,"wednesday"
"344","job",24,"job"
"345","friends",24,"friends"
"346","e",24,"e"
"347","wanted",24,"wanted"
"348","american",24,"american"
"349","tonight",24,"tonight"
"350","woman",24,"woman"
"351","morning",24,"morning"
"352","together",24,"together"
"353","food",24,"food"
"354","half",24,"half"
"355","run",24,"run"
"356","police",24,"police"
"357","officials",24,"officials"
"358","maybe",23,"maybe"
"359","side",23,"side"
"360","face",23,"face"
"361","hey",23,"hey"
"362","number",23,"number"
"363","john",23,"john"
"364","water",23,"water"
"365","short",23,"short"
"366","kind",23,"kind"
"367","once",23,"once"
"368","friend",23,"friend"
"369","issue",23,"issue"
"370","hit",23,"hit"
"371","thinking",23,"thinking"
"372","six",23,"six"
"373","site",22,"site"
"374","anyone",22,"anyone"
"375","street",22,"street"
"376","however",22,"however"
"377","monday",22,"monday"
"378","black",22,"black"
"379","understand",22,"understand"
"380","able",22,"able"
"381","based",22,"based"
"382","university",22,"university"
"383","south",22,"south"
"384","music",22,"music"
"385","office",22,"office"
"386","recent",22,"recent"
"387","information",22,"information"
"388","wish",22,"wish"
"389","saying",22,"saying"
"390","president",22,"president"
"391","early",22,"early"
"392","former",22,"former"
"393","war",22,"war"
"394","board",22,"board"
"395","wrong",21,"wrong"
"396","experience",21,"experience"
"397","outside",21,"outside"
"398","following",21,"following"
"399","girl",21,"girl"
"400","possible",21,"possible"
"401","month",21,"month"
"402","goes",21,"goes"
"403","oh",21,"oh"
"404","reading",21,"reading"
"405","known",21,"known"
"406","lost",21,"lost"
"407","members",21,"members"
"408","easy",21,"easy"
"409","death",21,"death"
"410","department",21,"department"
"411","plan",21,"plan"
"412","sunday",21,"sunday"
"413","percent",21,"percent"
"414","among",20,"among"
"415","couple",20,"couple"
"416","name",20,"name"
"417","change",20,"change"
"418","soon",20,"soon"
"419","fall",20,"fall"
"420","nothing",20,"nothing"
"421","series",20,"series"
"422","kids",20,"kids"
"423","else",20,"else"
"424","gave",20,"gave"
"425","created",20,"created"
"426","guy",20,"guy"
"427","favorite",20,"favorite"
"428","third",20,"third"
"429","power",20,"power"
"430","pm",20,"pm"
"431","visit",20,"visit"
"432","men",20,"men"
"433","twitter",20,"twitter"
"434","deal",20,"deal"
"435","coach",20,"coach"
"436","almost",19,"almost"
"437","along",19,"along"
"438","wasnt",19,"wasnt"
"439","ll",19,"ll"
"440","saw",19,"saw"
"441","sometimes",19,"sometimes"
"442","books",19,"books"
"443","theres",19,"theres"
"444","rest",19,"rest"
"445","ask",19,"ask"
"446","support",19,"support"
"447","system",19,"system"
"448","especially",19,"especially"
"449","id",19,"id"
"450","living",19,"living"
"451","given",19,"given"
"452","comes",19,"comes"
"453","young",19,"young"
"454","check",19,"check"
"455","quite",19,"quite"
"456","parents",19,"parents"
"457","taking",19,"taking"
"458","behind",19,"behind"
"459","june",19,"june"
"460","heart",19,"heart"
"461","hes",19,"hes"
"462","co",19,"co"
"463","running",19,"running"
"464","program",19,"program"
"465","weekend",19,"weekend"
"466","summer",19,"summer"
"467","break",19,"break"
"468","clear",19,"clear"
"469","federal",19,"federal"
"470","law",18,"law"
"471","blog",18,"blog"
"472","front",18,"front"
"473","instead",18,"instead"
"474","knew",18,"knew"
"475","near",18,"near"
"476","worth",18,"worth"
"477","n",18,"n"
"478","whose",18,"whose"
"479","moment",18,"moment"
"480","ways",18,"ways"
"481","open",18,"open"
"482","including",18,"including"
"483","service",18,"service"
"484","road",18,"road"
"485","awesome",18,"awesome"
"486","north",18,"north"
"487","york",18,"york"
"488","general",18,"general"
"489","beautiful",18,"beautiful"
"490","red",18,"red"
"491","using",18,"using"
"492","march",18,"march"
"493","thursday",18,"thursday"
"494","class",17,"class"
"495","taken",17,"taken"
"496","matter",17,"matter"
"497","needs",17,"needs"
"498","turned",17,"turned"
"499","although",17,"although"
"500","bring",17,"bring"
"501","leave",17,"leave"
"502","example",17,"example"
"503","question",17,"question"
"504","tell",17,"tell"
"505","learn",17,"learn"
"506","self",17,"self"
"507","list",17,"list"
"508","talking",17,"talking"
"509","create",17,"create"
"510","women",17,"women"
"511","finally",17,"finally"
"512","party",17,"party"
"513","online",17,"online"
"514","whether",17,"whether"
"515","add",17,"add"
"516","c",17,"c"
"517","focus",17,"focus"
"518","tomorrow",17,"tomorrow"
"519","film",17,"film"
"520","government",17,"government"
"521","write",17,"write"
"522","share",17,"share"
"523","win",17,"win"
"524","players",17,"players"
"525","minutes",17,"minutes"
"526","event",17,"event"
"527","w",17,"w"
"528","ohio",17,"ohio"
"529","expected",17,"expected"
"530","points",17,"points"
"531","style",16,"style"
"532","walk",16,"walk"
"533","mind",16,"mind"
"534","happened",16,"happened"
"535","moving",16,"moving"
"536","means",16,"means"
"537","word",16,"word"
"538","starting",16,"starting"
"539","close",16,"close"
"540","seems",16,"seems"
"541","above",16,"above"
"542","spent",16,"spent"
"543","child",16,"child"
"544","rather",16,"rather"
"545","works",16,"works"
"546","future",16,"future"
"547","within",16,"within"
"548","recently",16,"recently"
"549","beyond",16,"beyond"
"550","green",16,"green"
"551","didn",16,"didn"
"552","art",16,"art"
"553","usually",16,"usually"
"554","states",16,"states"
"555","email",16,"email"
"556","major",16,"major"
"557","national",16,"national"
"558","hear",16,"hear"
"559","ready",16,"ready"
"560","eyes",16,"eyes"
"561","decided",16,"decided"
"562","became",16,"became"
"563","field",16,"field"
"564","media",16,"media"
"565","personal",16,"personal"
"566","plans",16,"plans"
"567","eat",16,"eat"
"568","building",16,"building"
"569","obama",16,"obama"
"570","park",16,"park"
"571","attorney",16,"attorney"
"572","college",16,"college"
"573","mom",16,"mom"
"574","conference",16,"conference"
"575","hand",16,"hand"
"576","added",16,"added"
"577","won",16,"won"
"578","students",16,"students"
"579","guys",16,"guys"
"580","simply",15,"simply"
"581","heard",15,"heard"
"582","door",15,"door"
"583","act",15,"act"
